MHTERM,Lowest_Level_Term,Preferred_Term,High_Level_Term,High_Level_Group_Term,Body_System_Or_Organ_Class,AESOC
Prostatitis,"Prostatitis, unspecified",Prostatitis,Prostate and seminal vesicles infections and inflammations,Male reproductive tract infections and inflammations,Reproductive system and breast disorders,Reproductive system and breast disorders
Pruritus,Pruritus NOS,Pruritus,Pruritus NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
Pseudothrombocytopenia,Pseudothrombocytopenia,False positive investigation result,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Investigations,Investigations
Psoriasis,Psoriasis flare-up,Psoriasis,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders,Immune system disorders
Pulmonary embolism,Embolism pulmonary,Pulmonary embolism,Pulmonary thrombotic and embolic conditions,Pulmonary vascular disorders,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Pulmonary granulomatosis,Pulmonary granulomatosis,Pulmonary granuloma,Lower respiratory tract inflammatory and immunologic conditions,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Pulmonary sclerosis,Pulmonary sclerosis,Pulmonary fibrosis,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Pulmonary tuberculosis,Pulmonary TB,,Pulmonary tuberculosis,Bacterial lower respiratory tract infections,Respiratory tract infections,
Pyrosis,Pyrosis,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Quadriplegia,"Quadriplegia, unspecified",Quadriplegia,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nervous system disorders,Nervous system disorders
RUQ pain,RUQ pain,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Radical prostatectomy,Prostatovesiculectomy,Radical prostatectomy,Prostatic therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Radiotherapy,Radiotherapy NOS,Radiotherapy,Radiotherapies site unspecified,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Radiotherapy to breast,Radiotherapy to breast NOS,Radiotherapy to breast,Breast radiotherapies,Breast therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Radiotherapy to joint,Radiotherapy to joint,Radiotherapy to joint,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Radius fracture,Fractured radial head,Radius fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Reactive depression,Reactive depression,Adjustment disorder with depressed mood,Adjustment disorders,Adjustment disorders (incl subtypes),Psychiatric disorders,Psychiatric disorders
Rectal adenocarcinoma,Rectal adenocarcinoma stage unspecified,Rectal adenocarcinoma,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Rectal fistula repair,Rectal fistula repair,Rectal fistula repair,Anorectal therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Rectal tenesmus,Ineffective straining at stool,Rectal tenesmus,Muscle related signs and symptoms NEC,Muscle disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Recurrent urinary tract infection,Recurrent urinary tract infection,Urinary tract infection,Genitourinary tract infections and inflammations NEC,Genitourinary tract disorders NEC,Renal and urinary disorders,Renal and urinary disorders
Renal calculi,Renal calculi,Nephrolithiasis,Renal lithiasis,Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Renal calculus,Renal calculus,Nephrolithiasis,Renal lithiasis,Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Renal cell carcinoma,Renal cell carcinoma NOS,Renal cell carcinoma,Renal neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Renal colic,Colic renal,Renal colic,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Renal cyst,Renal cyst NOS,Renal cyst,Renal neoplasms benign,Renal and urinary tract neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Renal surgery,Kidney operation NOS,Renal surgery,Renal therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Respiratory failure,Failure respiratory,Respiratory failure,Respiratory acidoses,Acid-base disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Retinopathy,Retinopathy NOS,Retinopathy,Ocular vascular disorders NEC,Vascular disorders NEC,Vascular disorders,Vascular disorders
Rheumatic fever,Acute rheumatism,Rheumatic fever,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders,Immune system disorders
Rheumatics,Rheumatics,Rheumatic disorder,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders,Immune system disorders
Rheumatoid arthritis,Arthritis rheumatoid,Rheumatoid arthritis,Rheumatoid arthritis and associated conditions,Autoimmune disorders,Immune system disorders,Immune system disorders
Right upper quadrant pain,Right upper quadrant pain,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Rotator cuff injury,Rotator cuff injury,Rotator cuff syndrome,Joint related disorders NEC,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Saphenectomy,Saphenectomy,Phlebectomy,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Sarcoma,Sarcoma NOS,Sarcoma,Malignant musculoskeletal and connective tissue neoplasms,Musculoskeletal and connective tissue neoplasms,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Scar pain,Scar pain,Scar pain,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
Seasonal allergic rhinitis,Seasonal allergic rhinitis,Seasonal allergy,Atopic disorders,Allergic conditions,Immune system disorders,Immune system disorders
Seasonal allergy,Rhinitis seasonal,Seasonal allergy,Atopic disorders,Allergic conditions,Immune system disorders,Immune system disorders
Septicemia,Septicemia,Sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infections and infestations,Infections and infestations
Shellfish allergy,Shellfish allergy,Food allergy,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immune system disorders
Shingles,Shingles,Herpes zoster,Herpes viral infections,Viral infectious disorders,Infections and infestations,Infections and infestations
Shortness of breath,Shortness of breath,Dyspnoea,Dyspnoeas,Cardiac disorder signs and symptoms,Cardiac disorders,Cardiac disorders
Shoulder operation,Shoulder operation NOS,Shoulder operation,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Sick sinus syndrome,Sick sinus syndrome,Sinus node dysfunction,Supraventricular arrhythmias,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Sigmoid polyp,Sigmoid polyp,Large intestine polyp,Lower gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Silicosis,Anthracosilicosis,Silicosis,Occupational parenchymal lung disorders,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Sinus arrhythmia,Arrhythmia sinus,Sinus arrhythmia,Supraventricular arrhythmias,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Sinus operation,Sinus operation NOS,Sinus operation,Paranasal therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Skin graft,Skin graft NOS,Skin graft,Skin grafts,Skin and subcutaneous tissue therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Skin neoplasm excision,Skin cancer excision,Skin neoplasm excision,Skin lesion excisions,Skin and subcutaneous tissue therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Sleep apnea,Sleep apnea,Sleep apnoea syndrome,Dyssomnias,Sleep disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Smoker,Smoker,Tobacco user,Tobacco use,Lifestyle issues,Social circumstances,Social circumstances
Specific allergy (drug),Specific allergy (drug),Drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immune system disorders
Spinal laminectomy,Lumbar laminectomy,Spinal laminectomy,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Splenic vein thrombosis,Splenic vein thrombosis,Splenic vein thrombosis,Hepatic and portal embolism and thrombosis,Embolism and thrombosis,Vascular disorders,Vascular disorders
Splenomegaly,Spleen enlarged,Splenomegaly,Spleen disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Blood and lymphatic system disorders,Blood and lymphatic system disorders
Spondyloarthrosis,Spondyloarthrosis,Spinal osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Spondylosis,Spondylosis,Spinal osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Spontaneous abortion,Spontaneous abortion,Abortion spontaneous,Abortions spontaneous,Abortions and stillbirth,"Pregnancy, puerperium and perinatal conditions","Pregnancy, puerperium and perinatal conditions"
Steatosis hepatic,Steatosis hepatic,Hepatic steatosis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Stent placement,Stent insertion NOS,Stent placement,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Sterilization,Sterilization,Sterilisation,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Stomach dilatation,Stomach dilatation,Gastric dilatation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Stomach pain,Stomach pain,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Stomach ulcer,Stomach ulcer,Gastric ulcer,Gastric ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Strangulation ileus,Strangulation ileus,Mechanical ileus,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders,Gastrointestinal disorders
Stroke,Stroke,Cerebrovascular accident,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders,Nervous system disorders
Substance abuse,Polysubstance abuse,Substance abuse,Substance related and addictive disorders,Psychiatric disorders NEC,Psychiatric disorders,Psychiatric disorders
Subtotal hysterectomy,Subtotal hysterectomy,Hysterectomy,Uterine therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Suicidal ideation,Suicidal plans,Suicidal ideation,Suicidal and self-injurious behaviour,Suicidal and self-injurious behaviours NEC,Psychiatric disorders,Psychiatric disorders
Sulfonamide allergy,Sulfonamide allergy,Drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immune system disorders
Superficial gastritis,Superficial gastritis,Chronic gastritis,Gastritis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Supraventricular extrasystoles,Extrasystoles supraventricular,Supraventricular extrasystoles,Supraventricular arrhythmias,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Sweating,Sweating,Hyperhidrosis,General signs and symptoms NEC,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Syncope,Fainting,Syncope,Circulatory collapse and shock,Decreased and nonspecific blood pressure disorders and shock,Vascular disorders,Vascular disorders
Systolic ejection murmur,Systolic ejection murmur,Cardiac murmur,Cardiac auscultatory investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations,Investigations
Systolic murmur,Systolic murmur,Cardiac murmur,Cardiac auscultatory investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations,Investigations
TURP,TURP,Transurethral prostatectomy,Prostatic therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Taste changed,Taste changed,Dysgeusia,Sensory abnormalities NEC,Neurological disorders NEC,Nervous system disorders,Nervous system disorders
Taste metallic,Taste metallic,Dysgeusia,Sensory abnormalities NEC,Neurological disorders NEC,Nervous system disorders,Nervous system disorders
Tendon operation,Tendon operation NOS,Tendon operation,Tendon therapeutic procedures,Soft tissue therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Thrombocytopenia,"Thrombocytopenia, unspecified",Thrombocytopenia,Thrombocytopenias,Platelet disorders,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Thrombophilia,Thrombophilia,Hypercoagulation,Coagulopathies,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Blood and lymphatic system disorders,Blood and lymphatic system disorders
Thyroid cancer,Thyroid carcinoma NOS,Thyroid cancer,Thyroid neoplasms,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Thyroidectomy,Thyroidectomy NOS,Thyroidectomy,Thyroid therapeutic procedures,Endocrine gland therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Thyroidectomy partial,Thyroidectomy partial,Thyroidectomy,Thyroid therapeutic procedures,Endocrine gland therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Thyroiditis,Thyroiditis NOS,Thyroiditis,Acute and chronic thyroiditis,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Thyrotoxicosis,Thyrotoxicosis,Hyperthyroidism,Thyroid hyperfunction disorders,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Tibia fracture,Compound fracture - tibia,Tibia fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Tinnitus,"Tinnitus, unspecified",Tinnitus,Inner ear signs and symptoms,Inner ear and VIIIth cranial nerve disorders,Ear and labyrinth disorders,Ear and labyrinth disorders
Tonsillectomy,Tonsillotomy,Tonsillectomy,Tonsillar therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Total abdominal hysterectomy,Total abdominal hysterectomy,Hysterectomy,Uterine therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Total hysterectomy,Total hysterectomy,Hysterectomy,Uterine therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Total knee replacement,Total knee replacement,Knee arthroplasty,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Transient ischaemic attack,Transient ischemic attack,Transient ischaemic attack,Cerebrovascular and spinal necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Transurethral prostatectomy,Transurethral prostatectomy,Transurethral prostatectomy,Prostatic therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Tubal ligation,Tubal ligation,Female sterilisation,Contraceptive methods female,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Tuberculosis,Tuberculosis NOS,Tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infections and infestations,Infections and infestations
Tumor associated fever,Tumor associated fever,Tumour associated fever,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Tumor pain,Tumor pain,Tumour pain,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Tumour excision,Tumour excision,Tumour excision,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Type II diabetes mellitus,Type II diabetes mellitus,Type 2 diabetes mellitus,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders,Metabolism and nutrition disorders
UTI,UTI,Urinary tract infection,Genitourinary tract infections and inflammations NEC,Genitourinary tract disorders NEC,Renal and urinary disorders,Renal and urinary disorders
Ulcerative colitis,Ulcerative colitis,Colitis ulcerative,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders,Immune system disorders
Ulcus ventriculi,Ulcus ventriculi,Gastric ulcer,Gastric ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Umbilical hernia,Umbilical hernia,Umbilical hernia NOS,Umbilical hernia,Umbilical hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders
Umbilical hernia repair,Umbilical herniorrhaphy,Umbilical hernia repair,Hernia repairs,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Unstable angina,Unstable angina,Angina unstable,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Upper abdominal discomfort,Upper abdominal discomfort,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Upper abdominal pain,Upper abdominal pain,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Ureteral calculus,Ureteral calculus,Ureterolithiasis,Urinary tract lithiasis (excl renal),Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Ureteric operation,Ureteric operation NOS,Ureteric operation,Ureteric therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Ureterohydronephrosis,Ureterohydronephrosis,Hydronephrosis,Renal obstructive disorders,Renal disorders (excl nephropathies),Renal and urinary disorders,Renal and urinary disorders
Urethral dilation procedure,Urethral dilation procedure,Urethral dilation procedure,Urethral therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Urethral stent insertion,Urethral stent insertion,Urethral stent insertion,Urethral therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Urethritis,"Urethritis, unspecified",Urethritis,Urinary tract infections,Infections - pathogen unspecified,Infections and infestations,Infections and infestations
Urinary calculus removal,Urinary calculus removal,Urinary calculus removal,Urinary tract therapeutic procedures NEC,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Urinary incontinence,Unspecified urinary incontinence,Urinary incontinence,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Urinary infection,Urinary infection,Urinary tract infection,Genitourinary tract infections and inflammations NEC,Genitourinary tract disorders NEC,Renal and urinary disorders,Renal and urinary disorders
Urinary tract infection,Urinary tract infection NOS,Urinary tract infection,Genitourinary tract infections and inflammations NEC,Genitourinary tract disorders NEC,Renal and urinary disorders,Renal and urinary disorders
Urine discoloration,Urine discoloration,Chromaturia,Urinary abnormalities,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Urolithiasis,Urolithiasis,Calculus urinary,Urinary tract lithiasis (excl renal),Urolithiases,Renal and urinary disorders,Renal and urinary disorders
Uterine fibroid,Uterine fibroid,Uterine leiomyoma,Uterine neoplasms benign,Reproductive neoplasms female benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Uterine myoma,Uterine myoma,Uterine leiomyoma,Uterine neoplasms benign,Reproductive neoplasms female benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Vagotomy,Truncal vagotomy,Vagotomy,Autonomic nerve therapeutic procedures,Autonomic nerve therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Varicose vein,Varicose veins NOS,Varicose vein,Varicose veins NEC,Venous varices,Vascular disorders,Vascular disorders
Varicose vein operation,Varicose vein operation NOS,Varicose vein operation,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Varicose veins,Varicose veins,Varicose vein,Varicose veins NEC,Venous varices,Vascular disorders,Vascular disorders
Varicose veins NOS,Varicose veins NOS,Varicose vein,Varicose veins NEC,Venous varices,Vascular disorders,Vascular disorders
Varicose veins of lower extrem,Varicose veins of lower extremities,Varicose vein,Varicose veins NEC,Venous varices,Vascular disorders,Vascular disorders
Varicosity,Varicosity,Varicose vein,Varicose veins NEC,Venous varices,Vascular disorders,Vascular disorders
Vascular atheroma,Vascular atheroma,Arteriosclerosis,Non-site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Vascular stent insertion,Vascular stent insertion,Vascular stent insertion,Vascular therapeutic procedures NEC,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Vasectomy,Vasectomy NOS,Vasectomy,Male genital tract therapeutic procedures NEC,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Venous ligation,Varicose veins ligation,Venous ligation,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Venous stent insertion,Vena cava stent insertion,Venous stent insertion,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Vertebral injury,Vertebral injury,Spinal column injury,Site specific injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Vertebrobasilar insufficiency,Vertebral artery syndrome,Vertebrobasilar insufficiency,Cerebrovascular and spinal necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Vertebroplasty,Spine and spinal cord therapeutic procedures,Vertebroplasty,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Visual disturbance,Visual disturbance,Visual impairment,Visual disorders NEC,Vision disorders,Eye disorders,Eye disorders
Vocal cord disorder,Vocal cord disorder NOS,Vocal cord disorder,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Voice alteration,Voice alteration,Dysphonia,Speech articulation and rhythm disturbances,Communication disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Vomiting,Vomiting NOS,Vomiting,Nausea and vomiting symptoms,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Weakness,Weakness,Asthenia,Asthenic conditions,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Weakness generalized,Weakness generalized,Asthenia,Asthenic conditions,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Weight loss,Weight loss,Weight decreased,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations,Investigations
