CMTRT,CMDECOD,Anatomical Class,Anatomical Class Code,Therapeutic Class,Therapeutic Class Code,Pharmacological Class,Pharmacological Class Code,Chemical Class,ATC Code
MIDAZOLAM HYDROCHLORIDE,Midazolam Hydrochloride,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
MINERAL OIL EMULSION,Mineral Oil Emulsion,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
MINERALS NOS,Minerals Nos,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,,,,A12
MIRTAZAPINE,Mirtazapine,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
MITOMYCIN,Mitomycin,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Cytotoxic Antibiotics And Related Substances,L01D,Other Cytotoxic Antibiotics,L01DC
MODILOC,Modiloc,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents And Other Antihypertensives,C07F,Beta Block. Selective And Other Antihypertensives,C07FB
MODURETIC,Moduretic,Cardiovascular System,C,Diuretics,C03,Diuretics And Potassium-Sparing Agents In Comb,C03E,Low-Ceiling Diuretics And Potassium-Sparing Agents,C03EA
MOLSIDOMINE,Molsidomine,Cardiovascular System,C,Cardiac Therapy,C01,Vasodilators Used In Cardiac Diseases,C01D,Other Vasodilators Used In Cardiac Diseases,C01DX
MOMETASONE FUROATE,Mometasone Furoate,Dermatologicals,D,"Corticosteroids, Dermatological Preparations",D07,"Corticosteroids, Plain",D07A,"Corticosteroids, Potent (Group Iii)",D07AC
MONTELUKAST SODIUM,Montelukast Sodium,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,Oth.Systemic Drugs For Obstructive Airway Diseases,R03D,Leukotriene Receptor Antagonists,R03DC
MOPADAY,Mopaday,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Combinations Of Oral Blood Glucose Lowering Drugs,A10BD
MORPHINE,Morphine,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
MORPHINE HYDROCHLORIDE,Morphine Hydrochloride,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
MORPHINE SULFATE,Morphine Sulfate,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
MOVICOL,Movicol,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
MOXIFLOXACIN,Moxifloxacin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
MOXIFLOXACIN HYDROCHLORIDE,Moxifloxacin Hydrochloride,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
MOXONIDINE,Moxonidine,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Centrally Acting",C02A,Imidazoline Receptor Agonists,C02AC
MULTIVITAMINS,Multivitamins,Alimentary Tract And Metabolism,A,Vitamins,A11,"Multivitamins, Combinations",A11A,"Multivitamins, Other Combinations",A11AB
MULTIVITAMINS WITH MINERALS,Multivitamins With Minerals,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vitamin B-Complex, Incl. Combinations",A11E,"Vitamin B-Complex, Other Combinations",A11EX
"MULTIVITAMINS, COMBINATIONS","Multivitamins, Combinations",Alimentary Tract And Metabolism,A,Vitamins,A11,"Multivitamins, Combinations",A11A,,A11A
MUPIROCIN CALCIUM,Mupirocin Calcium,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Antibiotics For Topical Use,D06A,Other Antibiotics For Topical Use,D06AX
MYCOPHENOLATE SODIUM,Mycophenolate Sodium,Antineoplastic And Immunomodulating Agents,L,Immunosuppressants,L04,Immunosuppressants,L04A,Selective Immunosuppressants,L04AA
NADOLOL,Nadolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Non-Selective",C07AA
NADROPARIN,Nadroparin,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
NADROPARIN CALCIUM,Nadroparin Calcium,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
NAFTIDROFURYL OXALATE,Naftidrofuryl Oxalate,Cardiovascular System,C,Peripheral Vasodilators,C04,Peripheral Vasodilators,C04A,Other Peripheral Vasodilators,C04AX
NALOXONE,Naloxone,Nervous System,N,Other Nervous System Drugs,N07,Drugs Used In Addictive Disorders,N07B,Drugs Used In Opioid Dependence,N07BC
NANDROLONE DECANOATE,Nandrolone Decanoate,Alimentary Tract And Metabolism,A,Anabolic Agents For Systemic Use,A14,Anabolic Steroids,A14A,Estren Derivatives,A14AB
NAPROXEN,Naproxen,Genito Urinary System And Sex Hormones,G,Other Gynecologicals,G02,Other Gynecologicals,G02C,Antiinflammatory Products For Vaginal Administrat.,G02CC
NAPROXEN SODIUM,Naproxen Sodium,Genito Urinary System And Sex Hormones,G,Other Gynecologicals,G02,Other Gynecologicals,G02C,Antiinflammatory Products For Vaginal Administrat.,G02CC
NEBIVOLOL HYDROCHLORIDE,Nebivolol Hydrochloride,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
NEFOPAM HYDROCHLORIDE,Nefopam Hydrochloride,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Other Analgesics And Antipyretics,N02BG
NEMBUDEINE,Nembudeine,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
NEOGENYL,Neogenyl,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,Iron In Other Combinations,B03AE
NEOGOLASEPTINE,Neogolaseptine,Respiratory System,R,Throat Preparations,R02,Throat Preparations,R02A,Antiseptics,R02AA
NEONUTRIN TS + AG,Neonutrin Ts + Ag,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
NEOSTIGMINE BROMIDE,Neostigmine Bromide,Nervous System,N,Other Nervous System Drugs,N07,Parasympathomimetics,N07A,Anticholinesterases,N07AA
NEUROBION,Neurobion,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vit B1,Plain And In Comb With Vitamin B6 And B12",A11D,Vit B1 In Comb With Vitamin B6 And/Or Vitamin B12,A11DB
NICOFURANOSE,Nicofuranose,Cardiovascular System,C,Peripheral Vasodilators,C04,Peripheral Vasodilators,C04A,Nicotinic Acid And Derivatives,C04AC
NICOTINAM. W/PYRIDOXI. HCL/RIBOFL./THIAM. HCL,Nicotinam. W/Pyridoxi. Hcl/Ribofl./Thiam. Hcl,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vitamin B-Complex, Incl. Combinations",A11E,"Vitamin B-Complex, Plain",A11EA
NICOTINE,Nicotine,Nervous System,N,Other Nervous System Drugs,N07,Drugs Used In Addictive Disorders,N07B,Drugs Used In Nicotine Dependence,N07BA
NIFEDIPINE,Nifedipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
NIFLUMIC ACID,Niflumic Acid,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,"Other Antiinfl./Antirheumatic Agents, Non-Steroids",M01AX
NIFUROXAZIDE,Nifuroxazide,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinfectives,A07A,Other Intestinal Antiinfectives,A07AX
NIMESULIDE,Nimesulide,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,"Other Antiinfl./Antirheumatic Agents, Non-Steroids",M01AX
NIMODIPINE,Nimodipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
NISOLDIPINE,Nisoldipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
NITRAZEPAM,Nitrazepam,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
NITRENDIPINE,Nitrendipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
NIZATIDINE,Nizatidine,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,H2-Receptor Antagonists,A02BA
NOREPINEPHRINE BITARTRATE,Norepinephrine Bitartrate,Cardiovascular System,C,Cardiac Therapy,C01,Cardiac Stimulants Excl. Cardiac Glycosides,C01C,Adrenergic And Dopaminergic Agents,C01CA
NORFLOXACIN,Norfloxacin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
NORTRIPTYLINE,Nortriptyline,Genito Urinary System And Sex Hormones,G,Urologicals,G04,"Other Urologicals, Incl. Antispasmodics",G04B,Other Urologicals,G04BX
NOVOMIX,Novomix,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,Insulins And Analogues,A10A,"Insulin/Anal.For Inj,Intem.-Act.,Comb.W/Fast Act.",A10AD
NULYTELY,Nulytely,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
NYSTATIN,Nystatin,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Antiinfect. And Antisept. For Local Oral Treatment,A01AB
OCTREOTIDE,Octreotide,"Systemic Hormonal Prep.,Excl.Sex Horm.And Insulin",H,Pituitary And Hypothalamic Hormones And Analogues,H01,Hypothalamic Hormones,H01C,Antigrowth Hormone,H01CB
OFLOXACIN,Ofloxacin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
OLANZAPINE,Olanzapine,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,"Diazepines, Oxazepines And Thiazepines",N05AH
OLMESARTAN MEDOXOMIL,Olmesartan Medoxomil,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
OMEGA-3 MARINE TRIGLYCERIDES,Omega-3 Marine Triglycerides,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Other Lipid Modifying Agents,C10AX
OMEPRAZOLE,Omeprazole,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
OMEPRAZOLE MAGNESIUM,Omeprazole Magnesium,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
OMEPRAZOLE SODIUM,Omeprazole Sodium,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
ONDANSETRON,Ondansetron,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
ONDANSETRON HYDROCHLORIDE,Ondansetron Hydrochloride,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
OPIPRAMOL HYDROCHLORIDE,Opipramol Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Non-Selective Monoamine Reuptake Inhibitors,N06AA
OPIUM ALKALOIDS TOTAL,Opium Alkaloids Total,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antipropulsives,A07D,Antipropulsives,A07DA
ORGOTEIN,Orgotein,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,"Other Antiinfl./Antirheumatic Agents, Non-Steroids",M01AX
OROFAR,Orofar,Respiratory System,R,Throat Preparations,R02,Throat Preparations,R02A,,R02A
OSYROL-LASIX,Osyrol-Lasix,Cardiovascular System,C,Diuretics,C03,Diuretics And Potassium-Sparing Agents In Comb,C03E,High-Ceiling Diuretics And Potassium-Sparing Agent,C03EB
OTHER COMBINATIONS OF NUTRIENTS,Other Combinations Of Nutrients,Various,V,General Nutrients,V06,Other Nutrients,V06D,Other Combinations Of Nutrients,V06DX
OTHER NUTRIENTS,Other Nutrients,Various,V,General Nutrients,V06,Other Nutrients,V06D,,V06D
OTILONIUM BROMIDE,Otilonium Bromide,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,"Synt Anticholinergics,Quaternary Ammonium Compound",A03AB
OXALIPLATIN,Oxaliplatin,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Other Antineoplastic Agents,L01X,Platinum Compounds,L01XA
OXAZEPAM,Oxazepam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
OXYCOCET,Oxycocet,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
OXYCODONE,Oxycodone,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
OXYCODONE HYDROCHLORIDE,Oxycodone Hydrochloride,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
OXYGEN,Oxygen,Respiratory System,R,Other Respiratory System Products,R07,Other Respiratory System Products,R07A,,R07A
PALONOSETRON,Palonosetron,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
PALONOSETRON HYDROCHLORIDE,Palonosetron Hydrochloride,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
PAMIDRONATE DISODIUM,Pamidronate Disodium,Musculo-Skeletal System,M,Drugs For Treatment Of Bone Diseases,M05,Drugs Affecting Bone Structure And Mineralization,M05B,Bisphosphonates,M05BA
PANADEINE CO,Panadeine Co,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
PANCREATIN,Pancreatin,Alimentary Tract And Metabolism,A,"Digestives, Incl. Enzymes",A09,"Digestives, Incl. Enzymes",A09A,Enzyme Preparations,A09AA
PANCRELIPASE,Pancrelipase,Alimentary Tract And Metabolism,A,"Digestives, Incl. Enzymes",A09,"Digestives, Incl. Enzymes",A09A,Enzyme Preparations,A09AA
PANTOPRAZOLE,Pantoprazole,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
PANTOPRAZOLE SODIUM,Pantoprazole Sodium,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
PARA-SELTZER,Para-Seltzer,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Anilides,N02BE
PARACETAMOL,Paracetamol,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Anilides,N02BE
PARAFFIN,Paraffin,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,"Softeners, Emollients",A06AA
PARAFFIN SOFT,Paraffin Soft,Dermatologicals,D,Emollients And Protectives,D02,Emollients And Protectives,D02A,Other Emollients And Protectives,D02AX
"PARAFFIN, LIQUID","Paraffin, Liquid",Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,"Softeners, Emollients",A06AA
PARGEVERINE HYDROCHLORIDE,Pargeverine Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,,,,A03
PAROXETINE,Paroxetine,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
PAROXETINE HYDROCHLORIDE,Paroxetine Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
PEGFILGRASTIM,Pegfilgrastim,Antineoplastic And Immunomodulating Agents,L,Immunostimulants,L03,Immunostimulants,L03A,Colony Stimulating Factors,L03AA
PERCOCET-5,Percocet-5,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
PERI-COLACE,Peri-Colace,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
PERINDOPRIL,Perindopril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
PERINDOPRIL ERBUMINE,Perindopril Erbumine,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
PETHIDINE HYDROCHLORIDE,Pethidine Hydrochloride,Nervous System,N,Analgesics,N02,Opioids,N02A,Phenylpiperidine Derivatives,N02AB
PHENAZOPYRIDINE,Phenazopyridine,Genito Urinary System And Sex Hormones,G,Urologicals,G04,"Other Urologicals, Incl. Antispasmodics",G04B,Other Urologicals,G04BX
PHENOBARBITAL,Phenobarbital,Nervous System,N,Antiepileptics,N03,Antiepileptics,N03A,Barbiturates And Derivatives,N03AA
PHENOL,Phenol,Cardiovascular System,C,Vasoprotectives,C05,Antivaricose Therapy,C05B,Sclerosing Agents For Local Injection,C05BB
PHENOLPHTHALEIN,Phenolphthalein,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
PHENOTHIAZINE,Phenothiazine,"Antiparasitic Products,Insecticides And Repellents",P,Anthelmintics,P02,,,,P02
PHLOROGLUCINOL,Phloroglucinol,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Other Drugs For Functional Bowel Disorders,A03AX
PHTHALYLSULFATHIAZOLE,Phthalylsulfathiazole,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinfectives,A07A,Sulfonamides,A07AB
PHYTOMENADIONE,Phytomenadione,Blood And Blood Forming Organs,B,Antihemorrhagics,B02,Vitamin K And Other Hemostatics,B02B,Vitamin K,B02BA
PIOGLITAZONE HYDROCHLORIDE,Pioglitazone Hydrochloride,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Thiazolidinediones,A10BG
PIP/TAZO,Pip/Tazo,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Penicillins With Extended Spectrum,J01CA
PIPEMIDIC ACID,Pipemidic Acid,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
PIPERACILLIN,Piperacillin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Penicillins With Extended Spectrum,J01CA
PIPERACILLIN SODIUM,Piperacillin Sodium,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Penicillins With Extended Spectrum,J01CA
PIRACETAM,Piracetam,Nervous System,N,Psychoanaleptics,N06,"Psychostim., Agents Used For Adhd And Nootropics",N06B,Other Psychostimulants And Nootropics,N06BX
PIRITRAMIDE,Piritramide,Nervous System,N,Analgesics,N02,Opioids,N02A,Diphenylpropylamine Derivatives,N02AC
PIROXICAM BETADEX,Piroxicam Betadex,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Oxicams,M01AC
PLASMA,Plasma,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,Blood Substitutes And Plasma Protein Fractions,B05AA
PLATELETS,Platelets,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,,B05A
POLYCARBOPHIL CALCIUM,Polycarbophil Calcium,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Bulk Producers,A06AC
POLYGELINE,Polygeline,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,Blood Substitutes And Plasma Protein Fractions,B05AA
POLYSPORIN STERILE OPHTHALMIC,Polysporin Sterile Ophthalmic,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Antibiotics For Topical Use,D06A,Other Antibiotics For Topical Use,D06AX
POTASSIUM,Potassium,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,,A01A
POTASSIUM CANRENOATE,Potassium Canrenoate,Cardiovascular System,C,Diuretics,C03,Potassium-Sparing Agents,C03D,Aldosterone Antagonists,C03DA
POTASSIUM CHLORIDE,Potassium Chloride,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Potassium,A12B,Potassium,A12BA
POTASSIUM CITRATE,Potassium Citrate,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Potassium,A12B,Potassium,A12BA
POTASSIUM GLUCONATE,Potassium Gluconate,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Potassium,A12B,Potassium,A12BA
POVIDONE-IODINE,Povidone-Iodine,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Antiinfect. And Antisept. For Local Oral Treatment,A01AB
PRAMIPEXOLE DIHYDROCHLORIDE,Pramipexole Dihydrochloride,Nervous System,N,Anti-Parkinson Drugs,N04,Dopaminergic Agents,N04B,Dopamine Agonists,N04BC
PRAVASTATIN,Pravastatin,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
PRAVASTATIN SODIUM,Pravastatin Sodium,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
PRAZEPAM,Prazepam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
PREDNISOLONE,Prednisolone,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Corticosteroids For Local Oral Treatment,A01AC
PREDNISOLONE SODIUM SULFOBENZOATE,Prednisolone Sodium Sulfobenzoate,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
PREDNISONE,Prednisone,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
PREGABALIN,Pregabalin,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Other Analgesics And Antipyretics,N02BG
PRIMAXIN,Primaxin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Carbapenems,J01DH
PRINZIDE,Prinzide,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Combinations",C09B,Ace Inhibitors And Diuretics,C09BA
PRITOR,Pritor,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Combinations",C09D,Angiotensin Ii Antagonists And Diuretics,C09DA
PROCAINE HYDROCHLORIDE,Procaine Hydrochloride,Cardiovascular System,C,Vasoprotectives,C05,Ag.For Treatm.Of Hemorrh.And Anal Fiss.For Top.Use,C05A,Local Anesthetics,C05AD
PROCET,Procet,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Opium Alkaloids And Derivatives,R05DA
PROCHLORPERAZINE,Prochlorperazine,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
PROCHLORPERAZINE MALEATE,Prochlorperazine Maleate,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
PROCTOSEDYL,Proctosedyl,Cardiovascular System,C,Vasoprotectives,C05,Ag.For Treatm.Of Hemorrh.And Anal Fiss.For Top.Use,C05A,Corticosteroids,C05AA
PROGESTERONE,Progesterone,Genito Urinary System And Sex Hormones,G,Sex Hormones And Modulators Of The Genital System,G03,Progestogens,G03D,Pregnen (4) Derivatives,G03DA
PROMETHAZINE,Promethazine,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
PROMETHAZINE HYDROCHLORIDE,Promethazine Hydrochloride,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
PROPACET,Propacet,Nervous System,N,Analgesics,N02,Opioids,N02A,Diphenylpropylamine Derivatives,N02AC
PROPOFOL,Propofol,Nervous System,N,Anesthetics,N01,"Anesthetics, General",N01A,Other General Anesthetics,N01AX
PROPOLIS,Propolis,Various,V,All Other Therapeutic Products,V03,All Other Therapeutic Products,V03A,,V03A
PROPRANOLOL,Propranolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Non-Selective",C07AA
PROTHIPENDYL,Prothipendyl,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Other Antipsychotics,N05AX
PSYLLIUM HYDROPHILIC MUCILLOID,Psyllium Hydrophilic Mucilloid,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Bulk Producers,A06AC
PYRIDOXINE,Pyridoxine,Alimentary Tract And Metabolism,A,Vitamins,A11,Other Plain Vitamin Preparations,A11H,Other Plain Vitamin Preparations,A11HA
PYRIDOXINE HYDROCHLORIDE,Pyridoxine Hydrochloride,Alimentary Tract And Metabolism,A,Vitamins,A11,Other Plain Vitamin Preparations,A11H,Other Plain Vitamin Preparations,A11HA
QUETIAPINE FUMARATE,Quetiapine Fumarate,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,"Diazepines, Oxazepines And Thiazepines",N05AH
QUINAPRIL,Quinapril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
QUININE,Quinine,Musculo-Skeletal System,M,Other Drugs For Disord. Of The Musculo-Skelet.Syst,M09,Other Drugs For Disord. Of The Musculo-Skelet.Syst,M09A,Quinine And Derivatives,M09AA
