Lowest Level Term,Lowest Level Term Code,Preferred Term,Preferred Term Code,High Level Term,High Level Term Code,High Level Group Term,High Level Group Term Code,Body System Or Organ Class,Boody System Or Organ Class Code,AESOC,AESOCCD,sourcedataset,sourcevariable,sourcevalue,sourcetype
Pain flank,10033399,Flank pain,10016750,Urinary tract signs and symptoms NEC,10046591,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Pain flank,character
Syndrome nephrotic,10042826,Nephrotic syndrome,10029164,Glomerulonephritis and nephrotic syndrome,10018365,Nephropathies,10029149,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Nephrotic syndrome,character
Bladder neurogenic,10005059,Neurogenic bladder,10029279,Myoneurogenic bladder disorders,10028639,Bladder and bladder neck disorders (excl calculi),10004994,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Neurogenic bladder,character
Nycturia,10054791,Nocturia,10029446,Urinary tract signs and symptoms NEC,10046591,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Nocturia,character
Urinary frequency aggravated,10048404,Pollakiuria,10036018,Bladder and urethral symptoms,10004995,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Pollakiuria,character
Urinary frequency,10046539,Pollakiuria,10036018,Bladder and urethral symptoms,10004995,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Urinary frequency,character
Proteinuria aggravated,10048433,Proteinuria,10037032,Urinary abnormalities,10000196,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Proteinuria,character
Pyelonephritis NOS,10037604,Pyelonephritis,10037596,Renal infections and inflammations (excl nephritis),10038472,Renal disorders (excl nephropathies),10038430,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Pyelonephritis,character
Renal failure NOS,10038448,Renal failure,10038435,Renal failure and impairment,10038443,Renal disorders (excl nephropathies),10038430,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Renal failure,character
Renal failure acute,10038436,Acute kidney injury,10069339,Renal failure and impairment,10038443,Renal disorders (excl nephropathies),10038430,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Acute renal failure,character
Kidney pain,10023432,Renal pain,10038490,Urinary tract signs and symptoms NEC,10046591,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Renal pain,character
Ureter obstruction,10046381,Ureteric obstruction,10046406,Ureteric disorders NEC,10046402,Ureteric disorders,10046400,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Ureter obstruction,character
Retention urinary,10038783,Urinary retention,10046555,Bladder and urethral symptoms,10004995,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Urinary retention,character
Urinary infection,10046544,Urinary tract infection,10046571,Genitourinary tract infections and inflammations NEC,10018191,Genitourinary tract disorders NEC,10018188,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Urinary infection,character
UTI,10046848,Urinary tract infection,10046571,Genitourinary tract infections and inflammations NEC,10018191,Genitourinary tract disorders NEC,10018188,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,UTI,character
Urinary tract infection NOS,10046574,Urinary tract infection,10046571,Genitourinary tract infections and inflammations NEC,10018191,Genitourinary tract disorders NEC,10018188,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Urinary tract infection,character
Urinary tract pain NOS,10051508,Urinary tract pain,10062225,Urinary tract signs and symptoms NEC,10046591,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Urinary tract pain,character
Inflammatory disease of breast,10021983,Breast inflammation,10006262,Breast infections and inflammations,10021883,Breast disorders,10006232,Reproductive system and breast disorders,10038604,Reproductive system and breast disorders,10038604,ae,AELLT,Breast inflammation,character
Hematuria,10019450,Haematuria,10018867,Reproductive tract signs and symptoms NEC,10040674,Reproductive tract disorders NEC,10038612,Reproductive system and breast disorders,10038604,Reproductive system and breast disorders,10038604,ae,AELLT,Hematuria,character
Microscopic hematuria,10059824,Haematuria,10018867,Reproductive tract signs and symptoms NEC,10040674,Reproductive tract disorders NEC,10038612,Reproductive system and breast disorders,10038604,Reproductive system and breast disorders,10038604,ae,AELLT,Microscopic hematuria,character
Pain in testis,10033449,Testicular pain,10043345,Testicular and epididymal disorders NEC,10043296,Testicular and epididymal disorders,10013362,Reproductive system and breast disorders,10038604,Reproductive system and breast disorders,10038604,ae,AELLT,Testicular pain,character
Lumbar pain,10024998,Atelectasis,10003598,Parenchymal lung disorders NEC,10033979,Lower respiratory tract disorders (excl obstruction and infection),10024967,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Atelectasis,character
Respiration Cheyne-Stokes-type,10038649,Cheyne-Stokes respiration,10008501,Breathing abnormalities,10006334,Respiratory disorders NEC,10038716,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Cheyne-Stokes respiration,character
COPD,10010952,Chronic obstructive pulmonary disease,10009033,Bronchospasm and obstruction,10006484,Bronchial disorders (excl neoplasms),10006436,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Chronic obstructive pulmonary disease,character
Coughing,10011232,Cough,10011224,Coughing and associated symptoms,10011233,Respiratory disorders NEC,10038716,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Cough,character
Dry cough,10013773,Cough,10011224,Coughing and associated symptoms,10011233,Respiratory disorders NEC,10038716,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Dry cough,character
Hypoxic,10021144,Hypoxia,10021143,Conditions associated with abnormal gas exchange,10010268,Respiratory disorders NEC,10038716,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Hypoxemia,character
Excessive bronchial secretion,10015594,Increased bronchial secretion,10062530,Lower respiratory tract signs and symptoms,10024976,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Increased bronchial secretion,character
Flu,10016790,Influenza,10022000,Viral upper respiratory tract infections,10047483,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Flu,character
Laryngitis NOS,10023879,Laryngitis,10023874,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Laryngitis,character
Pulmonary infiltration,10037411,Lung infiltration,10025102,Parenchymal lung disorders NEC,10033979,Lower respiratory tract disorders (excl obstruction and infection),10024967,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pulmonary infiltration,character
Costal pain,10048711,Musculoskeletal chest pain,10050819,Thoracic musculoskeletal disorders,10043475,Thoracic disorders (excl lung and pleura),10013369,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Costal pain,character
Rib pain,10048722,Musculoskeletal chest pain,10050819,Thoracic musculoskeletal disorders,10043475,Thoracic disorders (excl lung and pleura),10013369,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Rib pain,character
Cold,10009851,Nasopharyngitis,10028810,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Cold,character
Cold symptoms,10009867,Nasopharyngitis,10028810,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Cold symptoms,character
Rhinopharyngitis,10067475,Nasopharyngitis,10028810,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Rhinopharyngitis,character
Chest pain (non-cardiac),10008480,Non-cardiac chest pain,10062501,Respiratory signs and symptoms NEC,10027698,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Chest pain (non-cardiac),character
Pharyngolaryngeal pain,10034844,Laryngeal pain,10023848,Upper respiratory tract signs and symptoms,10046313,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pharyngolaryngeal pain,character
Pharyngitis NOS,10034838,Pharyngitis,10034835,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pharyngitis,character
Pleural pain,10035613,Pleuritic pain,10035623,Lower respiratory tract signs and symptoms,10024976,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pleuritic pain,character
Aspiration pneumonia,10003525,Pneumonia aspiration,10035669,Lower respiratory tract inflammatory and immunologic conditions,10024972,Lower respiratory tract disorders (excl obstruction and infection),10024967,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Aspiration pneumonia,character
Pneumonitis NOS,10035755,Pneumonitis,10035742,Lower respiratory tract inflammatory and immunologic conditions,10024972,Lower respiratory tract disorders (excl obstruction and infection),10024967,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pneumonitis,character
Embolism pulmonary,10014521,Pulmonary embolism,10037377,Pulmonary thrombotic and embolic conditions,10037439,Pulmonary vascular disorders,10037454,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pulmonary embolism,character
Embolism lung,10050071,Pulmonary embolism,10037377,Pulmonary thrombotic and embolic conditions,10037439,Pulmonary vascular disorders,10037454,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Embolism lung,character
Rhinitis NOS,10039092,Rhinitis,10039083,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Rhinitis,character
Rhinorrhea,10039100,Rhinorrhoea,10039101,Upper respiratory tract signs and symptoms,10046313,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Rhinorrhea,character
Tender sinus,10078258,Sinus pain,10040747,Upper respiratory tract signs and symptoms,10046313,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Sinus pain,character
Sinus infection,10040745,Sinusitis,10040753,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Sinus infection,character
Upper respiratory infection,10046300,Upper respiratory tract infection,10046306,Upper respiratory tract infections NEC,10045573,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Upper respiratory infection,character
"Alopecia, unspecified",10001768,Alopecia,10001760,Alopecias,10001769,Skin appendage conditions,10040798,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Alopecia,character
Pressure sore,10036651,Decubitus ulcer,10011985,Skin injuries and mechanical dermatoses,10040877,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Pressure sore,character
Drug rash,10062948,Drug eruption,10013687,Dermatitis ascribed to specific agent,10012437,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Drug rash,character
Skin dry,10040835,Dry skin,10013786,Dermal and epidermal conditions NEC,10012424,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Dry skin,character
Ecchymosis NOS,10014082,Ecchymosis,10014080,Purpura and related conditions,10037555,Skin vascular abnormalities,10047043,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Ecchymosis,character
Eczema NOS,10014200,Eczema,10014184,Dermatitis and eczema,10012435,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Eczema,character
Erysipelas,10015145,Erysipelas,10015145,Skin and subcutaneous tissue bacterial infections,10040788,Skin and subcutaneous tissue infections and infestations,10040792,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Erysipelas,character
Localized erythema,10024781,Erythema,10015150,Erythemas,10015151,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Localized erythema,character
Erythema NOS,10015225,Erythema,10015150,Erythemas,10015151,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Erythema,character
Eyelid disorder NOS,10015983,Eyelid disorder,10061130,Dermal and epidermal conditions NEC,10012424,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Eyelid disorder,character
Brittle nails,10006373,Onychoclasis,10048886,Nail and nail bed conditions (excl infections and infestations),10028685,Skin appendage conditions,10040798,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Brittle nails,character
Palmar-plantar erythrodysesthesia syndrome,10054524,Palmar-plantar erythrodysaesthesia syndrome,10033553,Dermatitis ascribed to specific agent,10012437,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Palmar-plantar erythrodysesthesia syndrome,character
Pruritus NOS,10037096,Pruritus,10037087,Pruritus NEC,10049293,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Pruritus,character
Itching,10023084,Pruritus,10037087,Pruritus NEC,10049293,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Itching,character
Localised itching,10058732,Pruritus,10037087,Pruritus NEC,10049293,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Localized itching,character
Rash NOS,10037872,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Rash,character
Exanthema,10015587,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Exanthema,character
Localized rash,10062705,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Localized rash,character
Neck rash,10028837,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Neck rash,character
Skin rash,10040913,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Skin rash,character
Erythematous rash,10015243,Rash erythematous,10037855,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Erythematous rash,character
Generalized rash,10049201,Rash generalised,10037858,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Generalised rash,character
Pruritic rash,10037085,Rash pruritic,10037884,Pruritus NEC,10049293,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Pruritic rash,character
Scar pain,10049002,Scar pain,10049002,Dermal and epidermal conditions NEC,10012424,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Scar pain,character
Hyperpigmentation skin,10020715,Skin hyperpigmentation,10040865,Hyperpigmentation disorders,10020713,Pigmentation disorders,10035023,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Hyperpigmentation skin,character
Skin lesion NOS,10040886,Skin lesion,10040882,Dermal and epidermal conditions NEC,10012424,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Skin lesion,character
Toxicodermatosis,10068560,Toxic skin eruption,10057970,Dermatitis ascribed to specific agent,10012437,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Toxicodermatosis,character
Anaphylaxis,10002218,Anaphylactic reaction,10002198,Vascular hypotensive disorders,10057181,Decreased and nonspecific blood pressure disorders and shock,10011954,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Anaphylactic reaction,character
Thrombosis venous deep,10043642,Deep vein thrombosis,10051055,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Deep vein thrombosis,character
Deep thrombophlebitis,10012096,Deep vein thrombosis,10051055,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Deep thrombophlebitis,character
Deep vein thrombosis leg,10065052,Deep vein thrombosis,10051055,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Deep vein thrombosis leg,character
Deep venous thrombosis NOS,10012107,Deep vein thrombosis,10051055,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Deep venous thrombosis NOS,character
Left deep vein thrombosis,10024105,Deep vein thrombosis,10051055,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Left deep vein thrombosis,character
Haemorrhage nasal,10018986,Epistaxis,10015090,Haemorrhages NEC,10018987,Vascular haemorrhagic disorders,10047075,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Epistaxis,character
Nose bleed,10029792,Epistaxis,10015090,Haemorrhages NEC,10018987,Vascular haemorrhagic disorders,10047075,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Nose bleed,character
Nosebleed,10029802,Epistaxis,10015090,Haemorrhages NEC,10018987,Vascular haemorrhagic disorders,10047075,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Nosebleed,character
Hematoma,10019428,Haematoma,10018852,Haemorrhages NEC,10018987,Vascular haemorrhagic disorders,10047075,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hematoma,character
Haemorrhoidal bleeding,10053553,Haemorrhoidal haemorrhage,10054787,Gastrointestinal varicosities and haemorrhoids,10018030,Venous varices,10057165,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hemorrhoidal bleeding,character
Hemorrhoids,10019611,Haemorrhoids,10019022,Gastrointestinal varicosities and haemorrhoids,10018030,Venous varices,10057165,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hemorrhoids,character
Prolapsed haemorrhoid,10036851,Haemorrhoids,10019022,Gastrointestinal varicosities and haemorrhoids,10018030,Venous varices,10057165,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Prolapsed hemorrhoid,character
Hot flushes,10020408,Hot flush,10060800,Peripheral vascular disorders NEC,10034638,Vascular disorders NEC,10047066,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hot flushes,character
Hypertension NOS,10020782,Hypertension,10020772,Vascular hypertensive disorders NEC,10020774,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hypertension,character
Blood pressure high,10005747,Hypertension,10020772,Vascular hypertensive disorders NEC,10020774,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Blood pressure high,character
Hypertension aggravated,10020773,Hypertension,10020772,Vascular hypertensive disorders NEC,10020774,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hypertension aggravated,character
Hypertension arterial,10020775,Hypertension,10020772,Vascular hypertensive disorders NEC,10020774,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Hypertension arterial,character
Hypotension NOS,10021099,Hypotension,10021097,Vascular hypotensive disorders,10057181,Decreased and nonspecific blood pressure disorders and shock,10011954,Vascular disorders,10027433,Vascular disorders,10047065,ae,AELLT,Hypotension,character
Jugular vein thrombosis,10023237,Jugular vein thrombosis,10023237,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Jugular vein thrombosis,character
Hypotension orthostatic,10021100,Orthostatic hypotension,10031127,Vascular hypotensive disorders,10057181,Decreased and nonspecific blood pressure disorders and shock,10011954,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Orthostatic hypotension,character
Pale skin,10033533,Pallor,10033546,Site specific vascular disorders NEC,10057188,Vascular disorders NEC,10047066,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Pale skin,character
Cold extremities,10009857,Peripheral coldness,10034568,"Peripheral vasoconstriction, necrosis and vascular insufficiency",10034640,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",10003216,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Cold extremities,character
Phlebitis of leg superficial,10034900,Phlebitis superficial,10034902,Phlebitis NEC,10052780,Vascular inflammations,10047116,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Phlebitis superficial,character
Superficial phlebitis of leg,10042544,Phlebitis superficial,10034902,Phlebitis NEC,10052780,Vascular inflammations,10047116,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Superficial phlebitis of leg,character
Hypertension portal,10020786,Portal hypertension,10036200,Portal hypertensions,10036201,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Portal hypertension,character
Thrombosis portal vein,10043633,Portal vein thrombosis,10036206,Hepatic and portal embolism and thrombosis,10019630,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Portal vein thrombosis,character
Rectorrhagia,10063014,Rectal haemorrhage,10038063,Gastrointestinal haemorrhages,10052742,Vascular haemorrhagic disorders,10047075,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Rectorrhagia,character
Splenic infarction,10041648,Splenic infarction,10041648,Hepatic and portal necrosis and vascular insufficiency,10019632,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",10003216,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Splenic infarction,character
Splenic vein thrombosis,10041659,Splenic vein thrombosis,10041659,Hepatic and portal embolism and thrombosis,10019630,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Splenic vein thrombosis,character
Superficial thrombophlebitis,10042554,Thrombophlebitis superficial,10043595,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Superficial thrombophlebitis,character
Superficial thrombophlebitis of leg,10042557,Thrombophlebitis superficial,10043595,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Superficial thrombophlebitis of leg,character
Superficial venous thrombosis of arm,10042563,Thrombophlebitis superficial,10043595,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Superficial venous thrombosis of arm,character
Thrombosis venous superficial,10043643,Thrombophlebitis superficial,10043595,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Thrombosis venous superficial,character
Venous thrombosis NOS limb,10047255,Venous thrombosis limb,10061408,Peripheral embolism and thrombosis,10034572,Embolism and thrombosis,10014523,Vascular disorders,10047065,Vascular disorders,10047065,ae,AELLT,Venous thrombosis limb,character
Reduced general condition,10057364,General physical health deterioration,10049438,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,General physical health deterioration,character
Diarrhea NOS,10012732,Diarrhoea,10012735,Diarrhoea (excl infective),10012736,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Diarrhea,character
Feelings of weakness,10016373,Asthenia,10003549,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Asthenia,character
ALT increased,10001845,Liver function analyses,10024689,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Alanine aminotransferase increased,character
Pain flank,10033399,Flank pain,10016750,Urinary tract signs and symptoms NEC,10046591,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Flank pain,character
Hematemesis,10019418,Haematemesis,10018830,Non-site specific gastrointestinal haemorrhages,10017958,Gastrointestinal haemorrhages NEC,10017959,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Hematemesis,character
Chest pain (non-cardiac),10008480,Non-cardiac chest pain,10062501,Respiratory signs and symptoms NEC,10027698,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Non-cardiac chest pain,character
